main verb - infinito senza to;separabile- se segnato vuol dire si;prep_1;prep_2
cook;;over;
cook;;through;
cook;;up;
cooking;;up;
clean;;up;
cleaning;;up;
cool;;down;
cool;;off;
cool;;over;
coop;;up;
coopt;;up;
co-opt;;up;
coordinate;;along;
coordinate;;in;
coordinate;;out;
co-ordinate;;up;
cop;;off;
cop;;out;
copy;;across;
copy;;away;
copy;;down;
copy;;off;
copy;;on;
copy;;out;
copy;;over;
copy;;up;
corbel;;out;
cord;;out;
cord;;up;
cordon;;off;
cork;;up;
corkscrew;;up;
corner;;up;
corral;;on;
correlate;;up;
cosied;;up;
cost;;around;
cost;;down;
cost;;out;
cost;;over;
cost;;up;
costed;;out;
cosying;;up;
cotton;;on;
cough;;away;
cough;;out;
cough;;up;
couning;;out;
count;;down;
count;;in;
count;;off;
count;;on;
count;;out;
count;;over;
count;;up;
count;;upon;
counting;;out;
count;;out;
read;;out;
couple;;along;
couple;;out;
couple;;through;
couple;;up;
course;;down;
court;;over;
cover;;along;
cover;;around;
cover;;down;
cover;;in;
cover;;off;
cover;;out;
cover;;over;
cover;;through;
cover;;up;
cow;;down;
cozy;;up;
crab;;off;
crack;;around;
crack;;down;
crack;;off;
crack;;open;
crack;;out;
crack;;up;
crackle;;along;
cradle;;up;
craft;;off;
craft;;out;
craft;;up;
craked;;up;
cram;;in;
cram;;on;
cram;;up;
cramp;;up;
crane;;up;
crank;;away;
crank;;down;
crank;;out;
crank;;over;
crank;;up;
crash;;along;
crash;;around;
crash;;down;
crash;;in;
crash;;off;
crash;;out;
crash;;over;
crate;;up;
crawl;;across;
crawl;;along;
crawl;;around;
crawl;;down;
crawl;;off;
crawl;;out;
crawl;;over;
crawl;;through;
crawl;;up;
crawl;;upon;
creak;;along;
creak;;up;
cream;;off;
crease;;down;
crease;;up;
create;;around;
create;;off;
create;;on;
create;;out;
create;;up;
creep;;along;
creep;;around;
creep;;away;
creep;;down;
creep;;in;
creep;;off;
creep;;on;
creep;;out;
creep;;over;
creep;;through;
creep;;up;
creeped;;out;
crib;;out;
crieth;;out;
crieth;;up;
crimp;;over;
cringe;;along;
cringe;;down;
crinkle;;around;
crisp;;up;
criticise;;up;
croak;;along;
croak;;down;
croak;;out;
crop;;out;
crop;;up;
cross;;down;
cross;;off;
cross;;out;
cross;;over;
cross;;up;
crossed;;over;
crouch;;down;
crouch;;out;
crowd;;around;
crowd;;out;
crowd;;over;
crown;;up;
cruise;;along;
cruise;;around;
cruise;;down;
cruise;;off;
cruise;;out;
cruise;;through;
cruise;;up;
crumb;;down;
crumble;;along;
crumble;;away;
crumble;;off;
crumble;;out;
crumple;;down;
crumple;;up;
crunch;;around;
crunch;;up;
crush;;down;
crush;;out;
crush;;up;
crust;;over;
cry;;down;
cry;;in;
cry;;off;
cry;;on;
cry;;out;
cry;;over;
cry;;unto;
cry;;up;
crystallise;;out;
cube;;down;
cube;;out;
cuddle;;down;
cuddle;;up;
cue;;up;
cull;;out;
cultivate;;along;
cumber;;up;
cunjured;;up;
cup;;around;
curate;;around;
cure;;over;
curl;;around;
curl;;down;
curl;;in;
curl;;off;
curl;;up;
curl;;upon;
curtain;;off;
curve;;around;
curve;;off;
curve;;out;
curve;;over;
curve;;up;
cusing;;out;
cut;;across;
cut;;along;
cut;;around;
cut;;away;
cut;;down;
cut;;in;
cut;;off;
cut;;on;
cut;;open;
cut;;out;
cut;;over;
cut;;through;
cut;;up;
cutt;;up;
cutting;;out;
cycle;;along;
cycle;;around;
cycle;;down;
cycle;;off;
cycle;;on;
cycle;;out;
cycle;;over;
cycle;;through;
cycle;;up;
dab;;around;
dam;;up;
damage;;up;
damp;;down;
damp;;off;
damped;;down;
damped;;out;
dampen;;down;
dance;;along;
dance;;around;
dance;;down;
dance;;in;
dance;;off;
dance;;out;
dance;;over;
dance;;up;
dangle;;around;
dangle;;down;
dangle;;off;
dangle;;out;
dare;;open;
darken;;up;
dart;;across;
dart;;around;
dart;;away;
dart;;in;
dart;;off;
dart;;out;
dart;;over;
dart;;up;
dash;;around;
dash;;down;
dash;;off;
dash;;out;
dash;;over;
dash;;up;
date;;off;
date;;on;
date;;out;
date;;up;
daunt;;away;
dawdle;;down;
dawn;;out;
deal;;along;
deal;;in;
deal;;out;
deal;;up;
debate;;over;
debate;;upon;
decide;;on;
decide;;out;
decide;;over;
decide;;upon;
deck;;down;
deck;;out;
deck;;over;
declare;;along;
declare;;off;
declare;;open;
declare;;out;
declare;;over;
decline;;along;
decline;;over;
deconstructing;;around;
decrease;;along;
decrease;;down;
decrease;;over;
decrease;;up;
dedicate;;out;
dedicate;;up;
deduct;;off;
deduct;;up;
deem;;out;
deepen;;over;
default;;on;
defeat;;on;
defeat;;out;
defend;;unto;
define;;off;
define;;up;
deflect;;away;
deflect;;off;
deflect;;out;
delay;;up;
delegate;;out;
delight;;in;
delimit;;up;
deliver;;along;
deliver;;down;
deliver;;on;
deliver;;out;
deliver;;over;
deliver;;through;
deliver;;unto;
deliver;;up;
deliver;;upon;
delve;;down;
demand;;up;
demolish;;along;
demonise;;out;
demonstrate;;along;
demonstrate;;through;
demonstrate;;up;
depart;;off;
depart;;out;
depart;;unto;
depart;;up;
depend;;on;
depend;;upon;
deploy;;out;
deploy;;up;
deport;;out;
deposit;;up;
descend;;down;
descend;;off;
descend;;out;
descend;;over;
descend;;upon;
describe;;along;
describe;;in;
describe;;out;
deserve;;out;
design;;around;
design;;out;
design;;through;
design;;up;
designate;;up;
despair;;out;
destroy;;along;
destroy;;up;
detach;;down;
detail;;along;
detail;;off;
detail;;up;
detain;;along;
detain;;up;
detect;;up;
detect;;upon;
determine;;on;
determine;;upon;
develop;;along;
develop;;around;
develop;;down;
develop;;in;
develop;;out;
develop;;over;
develop;;through;
develop;;up;
develop;;upon;
deviate;;off;
devilling;;out;
devise;;unto;
devolve;;down;
devolve;;up;
devote;;around;
devour;;up;
devving;;on;
dial;;in;
dial;;out;
dial;;up;
dial`ing;;up;
dialled;;out;
dialling;;up;
dialyse;;out;
dialyse;;over;
dice;;along;
dice;;up;
dicjed;;up;
didnt;;open;
die;;along;
die;;away;
die;;down;
die;;in;
die;;off;
die;;on;
die;;out;
die;;over;
die;;up;
die;;down;
stand;;down;
differ;;on;
differ;;out;
differ;;over;
diffuse;;down;
diffuse;;out;
diffuse;;through;
diffuse;;up;
dig;;around;
dig;;down;
dig;;in;
dig;;on;
dig;;out;
dig;;over;
dig;;through;
dig;;up;
digged;;down;
digged;;out;
digged;;up;
digitise;;out;
dilate;;up;
dilate;;upon;
dilute;;down;
dilute;;up;
dimple;;down;
dine;;along;
dine;;in;
dine;;off;
dine;;out;
dine;;upon;
ding;;down;
ding;;out;
ding;;up;
dip;;down;
dip;;in;
dip;;out;
direct;;along;
direct;;away;
direct;;down;
direct;;off;
direct;;out;
direct;;through;
direct;;up;
dirty;;down;
disagree;;on;
disagree;;over;
disagree;;upon;
disappear;;along;
disappear;;around;
disappear;;down;
disappear;;off;
disappear;;out;
disappear;;over;
disappear;;up;
disassemble;;down;
disburse;;around;
discard;;up;
discharge;;around;
discharge;;down;
discharge;;out;
dischrged;;up;
disclose;;up;
discolour;;around;
disconnect;;down;
discontinue;;along;
discover;;around;
discover;;out;
try;;out;
discriminate;;on;
discuss;;along;
discuss;;in;
discuss;;out;
discuss;;over;
discuss;;up;
discuss;;out;
find;;out;
dish;;out;
dish;;up;
dismiss;;out;
dismount;;down;
dispatch;;along;
dispatch;;up;
disperse;;around;
disperse;;down;
disperse;;up;
displace;;out;
display;;along;
display;;around;
display;;down;
display;;on;
display;;out;
display;;up;
disqualify;;along;
dissapointed;;off;
dissect;;out;
dissipate;;out;
dissolve;;around;
dissolve;;away;
dissolve;;out;
distil;;down;
distil;;off;
distill;;down;
distill;;out;
distrain;;on;
distribute;;along;
distribute;;around;
distribute;;down;
distribute;;out;
distribute;;over;
distribute;;through;
distribute;;up;
ditch;;off;
dither;;over;
dive;;across;
dive;;around;
dive;;down;
dive;;in;
dive;;off;
dive;;on;
dive;;out;
dive;;over;
dive;;through;
dive;;up;
diversify;;out;
divert;;off;
divert;;up;
divide;;across;
divide;;down;
divide;;off;
divide;;out;
divide;;over;
divide;;up;
divvy;;up;
do;;along;
do;;around;
do;;aside;
do;;away;
do;;down;
do;;in;
do;;off;
do;;on;
do;;open;
do;;out;
do;;over;
do;;through;
do;;unto;
do;;up;
dock;;on;
dodge;;across;
dodge;;in;
dodge;;out;
dog;;off;
dogonastring;;on;
dog-paddle;;over;
doing;;down;
dole;;out;
dolled;;out;
dolled;;up;
dolly;;out;
dominate;;along;
dominate;;up;
donate;;up;
do-packing;;up;
dope;;up;
dose;;off;
dose;;up;
doss;;around;
doss;;down;
do--stir;;up;
dot;;around;
dot;;down;
dot;;over;
dote;;on;
double;;down;
double;;out;
double;;over;
double;;up;
double-click;;on;
double-headed;;up;
doubt;;whole;
download;;off;
download;;over;
download;;up;
downloaded;;on;
downloading;;up;
downloads;;up;
doze;;along;
doze;;off;
doze;;through;
draft;;in;
draft;;out;
drag;;across;
drag;;along;
drag;;around;
drag;;away;
drag;;down;
drag;;off;
drag;;on;
drag;;out;
drag;;up;
drain;;away;
drain;;down;
drain;;off;
drain;;out;
drain;;through;
drain;;up;
drape;;over;
draw;;across;
draw;;along;
draw;;around;
draw;;aside;
draw;;away;
draw;;down;
draw;;in;
draw;;off;
draw;;on;
draw;;out;
draw;;over;
draw;;through;
draw;;unto;
draw;;up;
draw;;upon;
drawed;;out;
drawn;;up;
dream;;down;
dream;;on;
dream;;up;
dredge;;over;
dredge;;up;
dreess;;up;
dress;;around;
dress;;down;
dress;;up;
dressing;;up;
dribble;;around;
dribble;;down;
dribble;;off;
dribble;;out;
drift;;across;
drift;;along;
drift;;around;
drift;;away;
drift;;down;
drift;;in;
drift;;off;
drift;;out;
drift;;over;
drift;;up;
drill;;away;
drill;;down;
drill;;on;
drill;;out;
drill;;through;
drill;;up;
drink;;along;
drink;;down;
drink;;in;
drink;;off;
drink;;out;
drink;;up;
drip;;down;
drip;;off;
drip;;on;
drip;;out;
drive;;across;
drive;;along;
drive;;around;
drive;;away;
drive;;down;
drive;;in;
drive;;off;
drive;;on;
drive;;out;
drive;;over;
drive;;through;
drive;;up;
drizzle;;over;
drone;;away;
drone;;on;
drool;;over;
droop;;down;
drop;;along;
drop;;around;
drop;;away;
drop;;down;
drop;;in;
drop;;off;
drop;;out;
drop;;over;
drop;;through;
droped;;out;
droping;;out;
drop-kick;;out;
dropped;;out;
droppered;;out;
droppiong;;out;
drown;;along;
drown;;in;
drown;;off;
drown;;out;
drowse;;off;
drowse;;on;
drug;;up;
drum;;along;
drum;;away;
drum;;on;
drum;;open;
drum;;out;
drum;;up;
dry;;down;
dry;;off;
dry;;out;
dry;;over;
dry;;up;
dub;;over;
duck;;down;
duck;;in;
duck;;off;
duck;;out;
duck;;through;
duff;;up;
dug;;out;
dug;;over;
dug;;up;
dull;;over;
dumbed;;down;
dumbing;;down;
dumbs;;down;
dumming;;down;
dump;;down;
dump;;on;
dump;;out;
dump;;up;
duplicate;;over;
dust;;down;
dust;;off;
dwell;;in;
dwell;;on;
dwell;;upon;
dwindle;;down;
dwindle;;over;
eading;;up;
earn;;around;
earn;;off;
earn;;out;
earn;;over;
earn;;up;
earth;;over;
earth;;up;
ease;;aside;
ease;;away;
ease;;down;
ease;;in;
ease;;off;
ease;;open;
ease;;out;
ease;;through;
ease;;up;
eat;;around;
eat;;away;
eat;;in;
eat;;off;
eat;;out;
eat;;over;
eat;;up;
ebb;;out;
echo;;around;
echo;;down;
echo;;off;
echo;;on;
echo;;up;
eclipse;;off;
ecverything;;out;
eddy;;around;
edge;;around;
edge;;aside;
edge;;away;
edge;;out;
edge;;over;
edge;;up;
edify;;unto;
edit;;along;
edit;;down;
edit;;off;
edit;;on;
edit;;out;
editting;;out;
edmunds;;up;
educate;;around;
educe;;out;
eek;;out;
eeked;;out;
effect;;up;
eke;;out;
elaborate;;on;
elaborate;;upon;
elbow;;aside;
elbow;;out;
elbow;;up;
elect;;along;
elect;;out;
elect;;up;
elect;;upon;
elevate;;out;
eliminate;;along;
eliminate;;out;
eliminate;;up;
elucidate;;over;
email;;out;
email;;up;
emailed;;across;
emailed;;out;
emailed;;over;
emailed;;up;
e-mailed;;out;
emailers;;out;
emails;;out;
emanate;;out;
embark;;on;
embark;;upon;
emerge;;along;
emerge;;on;
emerge;;out;
emerge;;over;
emigrate;;along;
emit;;over;
emit;;through;
employ;;around;
employ;;down;
employ;;out;
employ;;up;
empty;;down;
empty;;out;
empty;;up;
emptying;;out;
enable;;up;
enact;;out;
enamel;;on;
enclose;;along;
encode;;up;
encounter;;out;
encourage;;down;
encourage;;up;
encroach;;upon;
end;;around;
end;;down;
end;;off;
end;;on;
end;;out;
end;;up;
ending;;up;
endow;;out;
endure;;over;
endure;;through;
endure;;up;
eneded;;up;
enforce;;over;
engage;;along;
engage;;in;
engage;;over;
engage;;up;
engrave;;in;
engrave;;on;
enhance;;up;
enjoy;;along;
enjoy;;over;
enjoy;;up;
enlarge;;out;
enlarge;;upon;
enrol;;upon;
enroll;;in;
enroll;;on;
ensue;;up;
ensue;;upon;
ensure;;up;
ent;;down;
enter;;along;
enter;;in;
enter;;off;
enter;;on;
enter;;out;
enter;;over;
enter;;through;
enter;;up;
enter;;upon;
entertain;;away;
entertain;;up;
enthuse;;over;
entice;;away;
entice;;down;
entreat;;upon;
envisage;;off;
equal;;out;
equal;;up;
equalise;;around;
erase;;away;
erase;;out;
erect;;along;
erect;;around;
erect;;down;
erect;;out;
erode;;down;
erode;;off;
erode;;out;
erupt;;out;
erupt;;over;
escalate;;out;
escape;;across;
escape;;down;
escape;;out;
escape;;over;
escape;;up;
escort;;down;
escort;;in;
escort;;off;
escort;;out;
escort;;up;
establish;;off;
establish;;up;
estimate;;along;
estimate;;around;
estimate;;up;
etch;;up;
evacuate;;along;
evaluate;;along;
evaluate;;out;
evaluate;;upon;
evangelise;;down;
evaporate;;off;
even;;off;
even;;out;
even;;up;
everth;;over;
eves-dropping;;on;
evidence;;out;
evolve;;along;
evolve;;around;
evolve;;off;
evolve;;out;
evolve;;over;
evolve;;through;
evolve;;up;
exaggerate;;out;
exalt;;unto;
examine;;along;
examine;;up;
excavate;;down;
excavate;;out;
excavate;;up;
excel;;in;
excellen;;up;
except;;out;
exchange;;up;
excite;;over;
exclude;;in;
exclude;;out;
exclude;;up;
exercise;;along;
exercise;;in;
exercise;;off;
exercise;;over;
exercise;;up;
exert;;over;
exhibit;;along;
exhibit;;in;
exhibit;;on;
exhibit;;out;
exist;;around;
exist;;off;
exist;;out;
exist;;over;
exist;;through;
exist;;up;
exist;;upon;
exit;;out;
exit;;up;
expand;;across;
expand;;along;
expand;;in;
expand;;on;
expand;;out;
expand;;over;
expand;;up;
expand;;upon;
expatiate;;on;
expect;;off;
expect;;out;
expect;;up;
expel;;along;
expel;;up;
expend;;up;
experience;;around;
experience;;out;
experience;;through;
experience;;up;
experiment;;on;
experiment;;upon;
explain;;along;
explain;;away;
explain;;in;
explain;;out;
explain;;up;
explain;;upon;
explode;;off;
explode;;on;
explode;;out;
explode;;up;
exploit;;up;
explore;;along;
explore;;around;
explore;;down;
explore;;in;
explore;;off;
explore;;over;
explore;;up;
export;;out;
export;;up;
expound;;in;
express;;along;
express;;off;
express;;over;
express;;through;
express;;up;
extend;;across;
extend;;along;
extend;;around;
extend;;down;
extend;;in;
extend;;off;
extend;;out;
extend;;over;
extend;;through;
extend;;up;
extract;;out;
extract;;up;
extrapolate;;off;
extrapolate;;out;
extrude;;on;
exude;;around;
eye;;up;
face;;along;
face;;away;
face;;down;
face;;off;
face;;out;
face;;up;
facilitate;;out;
facilitate;;up;
factor;;out;
fade;;along;
fade;;away;
fade;;in;
fade;;off;
fade;;out;
fade;;up;
faff;;around;
fag;;in;
fag;;out;
fail;;down;
fail;;off;
fail;;on;
fail;;out;
fail;;over;
fail;;up;
failling;;around;
fair;;up;
fake;;up;
fall;;along;
fall;;apart;
fall;;around;
fall;;away;
fall;;down;
fall;;in;
fall;;on;
fall;;out;
fall;;over;
fall;;through;
fall;;up;
fall;;upon;
fame;;down;
fan;;off;
fan;;out;
fannying;;around;
farm;;out;
fart;;around;
fascinate;;up;
fashion;;out;
fasten;;around;
fasten;;down;
fasten;;on;
fasten;;out;
fasten;;up;
fathom;;out;
fatten;;up;
favor;;around;
fawn;;over;
fax;;out;
fax;;over;
fax;;through;
fe;;out;
feast;;on;
feast;;upon;
feather;;down;
feather;;up;
feature;;along;
feature;;around;
feature;;on;
feature;;through;
feature;;up;
fed;;up;
f-ed;;up;
feed;;around;
feed;;away;
feed;;down;
feed;;in;
feed;;off;
feed;;on;
feed;;out;
feed;;through;
feed;;up;
feed;;upon;
feeds;;on;
feel;;around;
feel;;away;
feel;;down;
feel;;off;
feel;;on;
feel;;out;
feel;;over;
feel;;through;
feel;;up;
feeze;;up;
fence;;around;
fence;;off;
fence;;out;
fend;;away;
fend;;off;
ferret;;out;
ferret;;up;
ferretting;;out;
ferry;;across;
ferry;;around;
ferry;;down;
ferry;;out;
ferry;;over;
ferry;;up;
fessed;;up;
fester;;on;
fetch;;away;
fetch;;out;
fetch;;up;
fiddle;;around;
field;;off;
field;;up;
fifty-something;;up;
figger;;out;
fight;;along;
fight;;down;
fight;;in;
fight;;off;
fight;;on;
fight;;out;
fight;;over;
fight;;through;
fight;;up;
figure;;down;
figure;;out;
figure;;unto;
figure;;up;
fiind;;out;
file;;along;
file;;down;
file;;off;
file;;out;
file;;over;
file;;up;
fill;;in;
fill;;out;
fill;;up;
film;;along;
film;;off;
filmmak;;up;
filter;;down;
filter;;off;
filter;;out;
filter;;through;
filter;;up;
fin;;along;
fin;;down;
fin;;on;
finance;;around;
finance;;out;
finance;;up;
find;;along;
find;;around;
find;;down;
find;;in;
find;;off;
find;;on;
find;;open;
find;;out;
find;;over;
find;;through;
find;;up;
find.;;out;
find-look;;out;
fine;;out;
fine;;up;
finesse;;up;
finger;;off;
finish;;around;
finish;;down;
finish;;in;
finish;;off;
finish;;out;
finish;;over;
finish;;up;
finishing;;off;
finsihed;;up;
fire;;away;
fire;;down;
fire;;off;
fire;;on;
fire;;out;
fire;;over;
fire;;through;
fire;;up;
fire;;upon;
firm;;down;
firm;;in;
firm;;up;
fish;;across;
fish;;around;
fish;;down;
fish;;in;
fish;;off;
fish;;out;
fish;;up;
fist;;away;
fit;;around;
fit;;down;
fit;;in;
fit;;on;
fit;;out;
fit;;over;
fit;;through;
fit;;up;
fix;;down;
fix;;out;
fix;;up;
fix;;upon;
fizz;;along;
fizz;;around;
fizz;;over;
fizzle;;out;
flag;;down;
flag;;off;
flag;;up;
flail;;around;
flake;;around;
flake;;off;
flake;;out;
flame;;out;
flame;;up;
flank;;up;
flap;;around;
flare;;off;
flare;;out;
flare;;up;
flash;;along;
flash;;down;
flash;;in;
flash;;off;
flash;;on;
flash;;out;
flash;;up;
flash;;upon;
flat-screened;;up;
flatten;;down;
flatten;;off;
flatten;;out;
flatter;;out;
flatter;;up;
flee;;down;
flee;;up;
flesh;;out;
flex;;out;
flex;;up;
flick;;across;
flick;;around;
flick;;down;
flick;;off;
flick;;on;
flick;;out;
flick;;over;
flick;;through;
flick;;up;
flicker;;in;
flicker;;over;
flicker;;up;
fling;;around;
fling;;aside;
fling;;down;
fling;;off;
fling;;open;
fling;;out;
fling;;up;
flip;;around;
flip;;down;
flip;;open;
flip;;out;
flip;;over;
flip;;through;
flip;;up;
flit;;around;
flit;;in;
flit;;over;
flit;;up;
float;;across;
float;;along;
float;;around;
float;;away;
float;;down;
float;;in;
float;;off;
float;;out;
float;;through;
float;;up;
flock;;around;
flock;;out;
flock;;over;
flock;;up;
flog;;off;
flood;;around;
flood;;down;
flood;;in;
flood;;out;
flood;;through;
flood;;up;
flop;;around;
flop;;down;
flop;;out;
flop;;up;
flounce;;off;
flounce;;out;
flounder;;around;
flourish;;along;
flow;;across;
flow;;along;
flow;;around;
flow;;down;
flow;;in;
flow;;off;
flow;;out;
flow;;over;
flow;;through;
flow;;up;
fluctuate;;out;
fluctuate;;over;
fluctuate;;up;
fluff;;around;
fluff;;up;
flunk;;out;
flush;;away;
flush;;down;
flush;;out;
flush;;through;
flush;;up;
flutter;;around;
flutter;;down;
flutter;;in;
flutter;;off;
flutter;;out;
flutter;;up;
fly;;across;
fly;;along;
fly;;around;
fly;;away;
fly;;down;
fly;;in;
fly;;off;
fly;;on;
fly;;out;
fly;;over;
fly;;through;
fly;;unto;
fly;;up;
fly-walking;;down;
foam;;down;
fob;;off;
focus;;along;
focus;;around;
focus;;down;
focus;;in;
focus;;on;
focus;;up;
focus;;upon;
fog;;up;
foil;;over;
foist;;on;
fold;;across;
fold;;along;
fold;;away;
fold;;down;
fold;;out;
fold;;over;
fold;;up;
follow;;along;
follow;;around;
follow;;down;
follow;;in;
follow;;on;
follow;;out;
follow;;over;
follow;;through;
follow;;up;
follow;;upon;
fool;;around;
foot;;around;
foot;;up;
foot-slog;;around;
forage;;around;
forage;;up;
force;;aside;
force;;away;
force;;down;
force;;off;
force;;open;
force;;out;
force;;through;
force;;up;
forecast;;up;
foresee;;up;
foreswear;;out;
forge;;on;
forge;;out;
forget;;over;
forgive;;out;
forgive;;over;
fork;;across;
fork;;down;
fork;;off;
fork;;out;
fork;;over;
fork;;up;
form;;along;
form;;around;
form;;out;
form;;through;
form;;up;
fortify;;along;
forward;;along;
forward;;around;
forward;;on;
foster;;on;
foster;;out;
foul;;out;
foul;;up;
found;;on;
found;;up;
founder;;off;
fracture;;off;
frailing;;around;
frame;;off;
france--kicked;;out;
franchise;;out;
frap;;around;
freak;;out;
free;;down;
free;;off;
free;;out;
free;;up;
freefalling;;up;
freeked;;out;
freeload;;off;
freewheel;;down;
freeze;;along;
freeze;;down;
freeze;;out;
freeze;;over;
freeze;;up;
freshen;;up;
fret;;down;
fret;;off;
fret;;over;
frighten;;away;
frighten;;off;
frighten;;out;
fringe;;around;
fritter;;away;
frog-marched;;down;
frolic;;around;
front;;on;
front;;up;
frost;;over;
frost;;up;
frown;;around;
frown;;on;
frown;;out;
frown;;up;
frown;;upon;
frustrate;;over;
fry;;up;
ftopping;;up;
fuck;;around;
fuck;;off;
fuck;;out;
fuck;;over;
fuck;;up;
fudge;;off;
fuel;;up;
fulfil;;up;
fumble;;around;
fume;;down;
fume;;off;
function;;around;
function;;on;
function;;out;
function;;over;
function;;up;
fund;;along;
fund;;out;
fund;;through;
fund;;up;
funk;;up;
funky-dancing;;through;
funnel;;down;
funnel;;out;
funnel;;up;
fur;;up;
furnish;;along;
further;;down;
further;;out;
further;;up;
fuse;;down;
fuss;;around;
fuss;;over;
fuzz;;up;
gad;;around;
gaed;;up;
gag;;off;
gag;;on;
gain;;out;
gain;;over;
gain;;up;
gallavanting;;off;
gallivant;;off;
gallop;;along;
gallop;;around;
gallop;;down;
gallop;;off;
gallop;;over;
gallop;;up;
gamble;;away;
gamble;;up;
gang;;up;
garble;;up;
garden;;out;
gargle;;out;
garotte;;along;
gasp;;out;
gather;;along;
gather;;around;
gather;;in;
gather;;out;
gather;;over;
gather;;up;
gaze;;around;
gaze;;down;
gaze;;off;
gaze;;out;
gaze;;over;
gaze;;up;
gaze;;upon;
gear;;down;
gear;;out;
gear;;through;
gear;;up;
gee;;up;
generate;;along;
generate;;around;
generate;;over;
generate;;up;
genned;;up;
genning;;up;
gesture;;over;
get;;across;
get;;along;
get;;around;
get;;aside;
get;;away;
get;;down;
get;;in;
get;;off;
get;;on;
get;;out;
get;;over;
get;;through;
get;;up;
get;;upon;
geting;;on;
getting;;in;
geve;;out;
gew;;up;
ghost;;out;
ghost;;through;
gift;;away;
gig;;over;
gird;;out;
gird;;up;
give;;along;
give;;around;
give;;away;
give;;in;
give;;off;
give;;out;
give;;over;
give;;unto;
give;;up;
gives;;up;
givving;;up;
glam;;up;
glammed;;up;
glance;;across;
glance;;around;
glance;;down;
glance;;off;
glance;;out;
glance;;over;
glance;;up;
glare;;down;
glaze;;along;
glaze;;over;
glaze;;up;
gleam;;out;
glide;;along;
glide;;around;
glide;;down;
glide;;in;
glide;;off;
glide;;out;
glide;;over;
glide;;up;
glimpse;;down;
glint;;off;
gloat;;over;
gloossed;;over;
glory;;over;
gloss;;off;
gloss;;over;
gloss;;up;
glove;;down;
glow;;out;
glow;;up;
glower;;out;
glue;;down;
glue;;up;
glugging;;down;
gnaw;;out;
gnaw;;through;
go;;across;
go;;along;
go;;around;
go;;aside;
go;;away;
go;;down;
go;;in;
go;;off;
go;;on;
go;;out;
go;;over;
go;;through;
go;;unto;
go;;up;
go;;upon;
gob;;off;
gob;;on;
gobble;;down;
gobble;;up;
goe;;unto;
goes;;off;
goeth;;down;
goeth;;up;
goggle;;on;
going;;on;
gone;;out;
gone;;over;
goof;;around;
goof;;off;
gophing;;off;
gorwing;;up;
gouge;;out;
govern;;out;
gown;;up;
grab;;off;
grab;;on;
grade;;out;
grade;;up;
graduate;;up;
graft;;out;
grammy-winning;;out;
grant;;out;
grant;;over;
grant;;unto;
grant;;up;
grant-aided;;up;
grass;;around;
grass;;on;
grass;;over;
grass;;up;
grate;;up;
graunted;;out;
gravel;;up;
gravitate;;around;
gray;;out;
gray;;over;
graze;;off;
graze;;up;
grease;;up;
greened;;up;
grew;;out;
grewn;;up;
grey;;out;
grey;;over;
grieve;;over;
grill;;off;
grill;;on;
grill;;up;
grin;;along;
grin;;down;
grind;;along;
grind;;away;
grind;;down;
grind;;off;
grind;;on;
grind;;out;
grind;;up;
gripe;;out;
grit;;out;
grizzle;;over;
groan;;over;
groom;;up;
groove;;along;
groove;;down;
groove;;up;
grope;;around;
grope;;up;
gross;;up;
ground;;down;
ground;;up;
group;;up;
grovel;;through;
grow;;along;
grow;;around;
grow;;down;
grow;;in;
grow;;on;
grow;;over;
grow;;through;
grow;;up;
growing;;up;
growl;;out;
grown;;up;
grows;;up;
grow-up;;around;
grub;;out;
grub;;up;
grumble;;out;
grumble;;up;
guard;;aside;
guard;;off;
guard;;over;
guess;;up;
guide;;on;
guide;;through;
gulp;;down;
gum;;up;
gun;;down;
gunged;;up;
gurgle;;around;
gurgle;;down;
gurgle;;out;
gush;;down;
gush;;out;
gush;;up;
gussy;;up;
gusted;;up;
guy;;out;
guzzle;;down;
gyns;;out;
gyrate;;around;
gyve;;unto;
hack;;around;
hack;;away;
hack;;down;
hack;;off;
hack;;on;
hack;;out;
hack;;over;
hack;;through;
hack;;up;
haggle;;down;
haggle;;over;
hail;;down;
half-rolled;;down;
hallmark;;up;
hallo;;down;
hallo;;out;
ham;;up;
hammer;;down;
hammer;;out;
hamper;;around;
hand;;across;
hand;;around;
hand;;away;
hand;;down;
hand;;in;
hand;;off;
hand;;on;
hand;;out;
hand;;over;
hand;;up;
hand-forking;;out;
handle;;off;
handle;;on;
handle;;out;
handle;;up;
hands;;on;
hang;;around;
hang;;down;
hang;;off;
hang;;on;
hang;;out;
hang;;over;
hang;;up;
hang;;upon;
happeing;;out;
happen;;across;
happen;;along;
happen;;around;
happen;;down;
happen;;in;
happen;;off;
happen;;on;
happen;;out;
happen;;over;
happen;;unto;
happen;;up;
happen;;upon;
haqve;;out;
harden;;off;
harden;;up;
hare;;around;
hark;;up;
harm;;down;
harm;;out;
harm;;through;
harmonise;;up;
harness;;up;
harp;;along;
harp;;on;
harry;;down;
harvest;;out;
hash;;out;
hasnt;;up;
hassle;;out;
haste;;away;
hasten;;out;
hat;;off;
hatch;;down;
hatch;;out;
hatch;;up;
haul;;along;
haul;;away;
haul;;down;
haul;;off;
haul;;out;
haul;;over;
haul;;up;
hawk;;around;
hawk;;down;
head;;along;
head;;around;
head;;away;
head;;down;
head;;off;
