main verb - infinito senza to;separabile- se segnato vuol dire si;prep_1;prep_2
ferret;x;out;
ferry;x;around;
fetch;x;in;
fetch;x;out;
fetch;x;up;
fight;x;off;
fight;x;out;
fight;x;through;
figure;x;out;
filck;x;up;
file;x;away;
fill;x;in;
fill;x;out;
fill;x;up;
filter;x;out;
find;x;away;
find;x;down;
find;x;in;
find;x;off;
find;x;on;
find;x;out;
find;x;over;
find;x;through;
find;x;up;
fine;x;up;
finish;x;off;
finish;x;over;
finish;x;up;
fire;x;off;
fire;x;out;
fire;x;over;
fire;x;up;
firm;x;down;
firm;x;up;
fish;x;out;
fit;x;around;
fit;x;in;
fit;x;out;
fix;x;down;
fix;x;up;
flag;x;down;
flag;x;off;
flag;x;up;
flap;x;down;
flash;x;out;
flatten;x;out;
flesh;x;out;
flick;x;off;
flick;x;on;
flick;x;up;
fling;x;aside;
fling;x;away;
fling;x;down;
fling;x;off;
flip;x;over;
float;x;down;
float;x;off;
float;x;out;
flog;x;off;
flush;x;away;
flush;x;down;
flush;x;out;
fly;x;out;
fly;x;over;
fob;x;off;
fold;x;out;
fold;x;over;
fold;x;up;
folk;x;up;
follow;x;along;
follow;x;around;
follow;x;down;
follow;x;in;
follow;x;off;
follow;x;out;
follow;x;through;
follow;x;up;
foot;x;out;
foot;x;over;
force;x;away;
force;x;down;
force;x;off;
force;x;out;
force;x;over;
force;x;through;
force;x;up;
forcng;x;out;
fork;x;off;
forward;x;on;
foul;x;off;
foul;x;up;
freak;x;out;
free;x;up;
freeze;x;out;
freshen;x;up;
frighten;x;off;
frighten;x;out;
frill;x;up;
fuck;x;off;
fuck;x;up;
fulfill;x;out;
funk;x;up;
funnel;x;through;
gain;x;up;
gamble;x;away;
gather;x;up;
gear;x;up;
gee;x;up;
get;x;across;
get;x;along;
get;x;around;
get;x;away;
get;x;down;
get;x;in;
get;x;off;
get;x;on;
get;x;out;
get;x;over;
get;x;through;
get;x;up;
giggle;x;off;
gird;x;in;
give;x;away;
give;x;off;
give;x;out;
give;x;over;
give;x;unto;
give;x;up;
go;x;down;
go;x;out;
go;x;up;
goad;x;out;
gobble;x;up;
gorge;x;out;
grab;x;out;
grass;x;up;
grate;x;down;
grind;x;away;
grind;x;down;
grind;x;up;
grow;x;in;
grow;x;out;
grow;x;up;
grub;x;up;
guess;x;out;
guide;x;along;
guide;x;around;
guide;x;away;
guide;x;down;
guide;x;on;
guide;x;out;
guide;x;over;
guide;x;through;
gulp;x;down;
hack;x;away;
hack;x;down;
hack;x;off;
hack;x;out;
haggle;x;down;
ham;x;up;
hammer;x;in;
hammer;x;out;
hand;x;around;
hand;x;down;
hand;x;in;
hand;x;off;
hand;x;out;
hand;x;over;
hand;x;up;
handle;x;out;
hang;x;around;
hang;x;down;
hang;x;on;
hang;x;out;
hang;x;over;
hang;x;up;
harden;x;off;
haul;x;along;
haul;x;in;
haul;x;off;
haul;x;out;
haul;x;up;
haunt;x;down;
head;x;off;
hear;x;down;
hear;x;out;
hear;x;over;
hear;x;through;
hear;x;up;
heat;x;through;
heat;x;up;
heave;x;down;
heave;x;out;
heave;x;up;
heel;x;in;
help;x;along;
help;x;down;
help;x;in;
help;x;off;
help;x;out;
help;x;over;
help;x;through;
help;x;up;
hem;x;in;
herd;x;off;
herd;x;out;
hew;x;down;
hide;x;away;
hide;x;down;
hide;x;out;
hightail;x;out;
hire;x;along;
hire;x;out;
hit;x;off;
hit;x;up;
hive;x;off;
hock;x;up;
hoe;x;off;
hoick;x;out;
hoist;x;out;
hoist;x;up;
hold;x;around;
hold;x;down;
hold;x;in;
hold;x;off;
hold;x;on;
hold;x;out;
hold;x;up;
hollow;x;out;
hone;x;down;
hoof;x;up;
hook;x;away;
hook;x;in;
hook;x;out;
hook;x;up;
hose;x;down;
hot-foot;x;down;
hound;x;out;
hump;x;up;
hunch;x;up;
hunt;x;down;
hunt;x;out;
hunt;x;up;
hurl;x;away;
hurl;x;down;
hurl;x;out;
hurl;x;up;
hurry;x;along;
hurry;x;away;
hush;x;up;
hustle;x;along;
hustle;x;out;
hyp;x;up;
identify;x;out;
ignore;x;up;
immerse;x;in;
impel;x;out;
impose;x;down;
imprint;x;out;
improve;x;out;
incline;x;away;
include;x;in;
include;x;on;
include;x;out;
include;x;up;
induce;x;away;
indulge;x;in;
inform;x;off;
inhale;x;in;
insert;x;up;
install;x;up;
instruct;x;off;
instruct;x;on;
interview;x;up;
introduce;x;around;
invalid;x;out;
invite;x;along;
invite;x;around;
invite;x;down;
invite;x;in;
invite;x;on;
invite;x;out;
invite;x;over;
invoke;x;out;
involve;x;in;
iron;x;out;
check;x;out;
jack;x;up;
jangle;x;around;
jazz;x;up;
jerk;x;along;
jerk;x;around;
join;x;along;
join;x;on;
join;x;out;
join;x;up;
jolly;x;along;
jolly;x;through;
jolly;x;up;
jot;x;down;
judge;x;on;
keep;x;around;
keep;x;away;
keep;x;down;
keep;x;in;
keep;x;off;
keep;x;on;
keep;x;open;
keep;x;out;
keep;x;up;
kep;x;up;
key;x;up;
kick;x;around;
kick;x;away;
kick;x;down;
kick;x;in;
kick;x;off;
kick;x;out;
kick;x;over;
kick;x;up;
kill;x;along;
kill;x;off;
kiss;x;away;
kiss;x;off;
knit;x;up;
knock;x;down;
knock;x;in;
knock;x;off;
knock;x;out;
knock;x;over;
knock;x;up;
know;x;off;
lace;x;up;
ladle;x;out;
laminate;x;in;
lap;x;up;
last;x;up;
laugh;x;off;
laugh;x;out;
launch;x;down;
launch;x;off;
launch;x;out;
lay;x;across;
lay;x;down;
lay;x;off;
lay;x;on;
lay;x;out;
lay;x;over;
lay;x;up;
layed;x;out;
layer;x;up;
lead;x;across;
lead;x;along;
lead;x;around;
lead;x;aside;
lead;x;away;
lead;x;down;
lead;x;off;
lead;x;on;
lead;x;out;
lead;x;over;
lead;x;through;
lead;x;unto;
lead;x;up;
leade;x;in;
leadeth;x;out;
leadeth;x;up;
lean;x;over;
lease;x;out;
leave;x;around;
leave;x;aside;
leave;x;down;
leave;x;in;
leave;x;off;
leave;x;on;
leave;x;out;
leave;x;up;
leg;x;down;
leg;x;out;
leg;x;up;
legislate;x;out;
lend;x;out;
let;x;along;
let;x;down;
let;x;in;
let;x;off;
let;x;on;
let;x;out;
let;x;through;
level;x;off;
level;x;out;
lever;x;up;
license;x;out;
lick;x;off;
lick;x;up;
lie;x;down;
lie;x;out;
lift;x;off;
lift;x;on;
lift;x;out;
lift;x;over;
lift;x;up;
light;x;out;
light;x;up;
lighten;x;up;
like;x;along;
like;x;in;
like;x;off;
like;x;out;
like;x;up;
limber;x;up;
line;x;up;
link;x;through;
link;x;up;
list;x;in;
live;x;out;
live;x;up;
liven;x;up;
load;x;on;
load;x;up;
loan;x;out;
lob;x;out;
lock;x;away;
lock;x;in;
lock;x;out;
lock;x;up;
log;x;in;
log;x;off;
log;x;on;
log;x;out;
look;x;out;
look;x;over;
look;x;up;
loop;x;through;
loosen;x;up;
lord;x;up;
love;x;over;
love;x;unto;
love;x;up;
lower;x;down;
lump;x;down;
lure;x;away;
lure;x;on;
lure;x;out;
mail;x;out;
maintain;x;up;
make;x;across;
make;x;along;
make;x;around;
make;x;down;
make;x;in;
make;x;off;
make;x;on;
make;x;out;
make;x;over;
make;x;through;
make;x;up;
make;x;whole;
man;x;through;
manage;x;through;
manifest;x;out;
manipulate;x;in;
manoeuvre;x;out;
map;x;out;
map;x;up;
march;x;down;
march;x;off;
mark;x;down;
mark;x;off;
mark;x;out;
mark;x;up;
market;x;out;
marry;x;off;
mash;x;down;
match;x;up;
mean;x;out;
meet;x;along;
meet;x;off;
meet;x;on;
meet;x;out;
meet;x;over;
melt;x;down;
mess;x;around;
mess;x;up;
micro;x;up;
mirror;x;unto;
miss;x;off;
miss;x;out;
miss;x;up;
mix;x;in;
mix;x;up;
model;x;upon;
monkey;x;up;
mop;x;up;
motion;x;over;
mount;x;in;
move;x;across;
move;x;along;
move;x;around;
move;x;aside;
move;x;away;
move;x;down;
move;x;in;
move;x;off;
move;x;on;
move;x;out;
move;x;over;
move;x;up;
mow;x;down;
mow;x;over;
muck;x;up;
muddle;x;up;
mull;x;over;
nail;x;down;
narrow;x;down;
need;x;on;
need;x;out;
need;x;up;
negotiate;x;away;
negotiate;x;out;
nick;x;off;
nod;x;down;
nod;x;in;
notch;x;up;
note;x;down;
nudge;x;off;
nudge;x;out;
numb;x;out;
obtain;x;up;
occupy;x;down;
offer;x;out;
offer;x;through;
offer;x;up;
open;x;out;
open;x;up;
oppose;x;out;
order;x;in;
order;x;off;
order;x;out;
order;x;up;
oust;x;out;
pisses;x;off;
pace;x;out;
pack;x;away;
pack;x;in;
pack;x;off;
pack;x;out;
pack;x;up;
package;x;up;
pad;x;out;
paddle;x;over;
paint;x;out;
paint;x;up;
pair;x;up;
palm;x;away;
palm;x;off;
parade;x;over;
parcel;x;out;
pare;x;down;
park;x;up;
parry;x;over;
pass;x;across;
pass;x;along;
pass;x;around;
pass;x;down;
pass;x;off;
pass;x;on;
pass;x;out;
pass;x;over;
pass;x;through;
pass;x;up;
paste;x;in;
paste;x;up;
patch;x;up;
paw;x;away;
pawn;x;off;
pay;x;across;
pay;x;down;
pay;x;in;
pay;x;off;
pay;x;out;
pay;x;over;
pay;x;up;
peel;x;away;
peel;x;off;
peg;x;out;
peg;x;up;
perk;x;up;
permit;x;up;
perspire;x;over;
persuade;x;out;
phase;x;out;
phone;x;on;
phone;x;up;
photocopy;x;off;
pick;x;off;
pick;x;out;
pick;x;up;
pierce;x;through;
pin;x;down;
pin;x;up;
pinch;x;off;
piss;x;down;
piss;x;off;
piss;x;out;
piss;x;up;
place;x;down;
place;x;in;
place;x;on;
place;x;out;
place;x;through;
place;x;upon;
plait;x;on;
plan;x;around;
plan;x;out;
plant;x;down;
plant;x;out;
plant;x;up;
plaster;x;on;
play;x;along;
play;x;around;
play;x;down;
play;x;in;
play;x;off;
play;x;on;
play;x;out;
play;x;over;
play;x;through;
play;x;up;
plonk;x;down;
plough;x;out;
pluck;x;off;
pluck;x;out;
plug;x;in;
plunge;x;down;
point;x;away;
point;x;down;
point;x;out;
poke;x;on;
polish;x;away;
polish;x;off;
polish;x;up;
pop;x;down;
pop;x;in;
pop;x;off;
pop;x;on;
pop;x;out;
port;x;over;
post;x;along;
post;x;off;
post;x;on;
post;x;out;
post;x;over;
post;x;up;
pot;x;up;
pour;x;down;
pour;x;off;
pour;x;on;
pour;x;out;
power;x;off;
power;x;on;
power;x;up;
practice;x;on;
prepare;x;in;
present;x;along;
preserve;x;down;
press;x;down;
press;x;in;
press;x;on;
press;x;out;
presume;x;whole;
prevent;x;over;
price;x;out;
pride;x;on;
print;x;off;
print;x;out;
prize;x;out;
prize;x;up;
project;x;down;
promote;x;through;
prop;x;up;
proped;x;up;
propel;x;along;
propel;x;away;
propel;x;in;
propel;x;out;
propel;x;up;
protect;x;on;
protect;x;through;
prove;x;on;
provide;x;out;
provide;x;up;
psych;x;up;
psyche;x;out;
psyche;x;up;
publish;x;out;
puff;x;out;
puff;x;up;
pull;x;along;
pull;x;aside;
pull;x;away;
pull;x;down;
pull;x;in;
pull;x;off;
pull;x;out;
pull;x;over;
pull;x;through;
pull;x;up;
pump;x;off;
pump;x;out;
pump;x;up;
pun;x;out;
punch;x;in;
punch;x;out;
push;x;across;
push;x;along;
push;x;around;
push;x;aside;
push;x;away;
push;x;away;
push;x;down;
push;x;in;
push;x;off;
push;x;on;
push;x;out;
push;x;over;
push;x;through;
push;x;up;
pussing;x;down;
put;x;across;
put;x;around;
put;x;aside;
put;x;away;
put;x;down;
put;x;in;
put;x;off;
put;x;on;
put;x;out;
put;x;over;
put;x;through;
put;x;up;
put;x;upon;
putteth;x;off;
puzzle;x;out;
queue;x;up;
quote;x;out;
race;x;up;
radio;x;in;
rail;x;in;
raise;x;off;
raise;x;up;
rake;x;in;
rake;x;up;
rally;x;out;
rank;x;along;
rap;x;off;
rate;x;out;
rattle;x;off;
reach;x;on;
read;x;down;
read;x;off;
read;x;on;
read;x;out;
read;x;over;
read;x;through;
ream;x;out;
reason;x;out;
reassure;x;on;
reckon;x;up;
recommend;x;out;
record;x;down;
reel;x;in;
refer;x;down;
refer;x;on;
register;x;up;
reimburse;x;up;
re-introduced;x;along;
reject;x;out;
relocate;x;off;
remember;x;along;
remind;x;off;
remove;x;along;
remove;x;out;
remove;x;up;
render;x;out;
renew;x;up;
rent;x;out;
repackage;x;out;
repeat;x;across;
repeat;x;over;
repeat;x;up;
replace;x;up;
report;x;in;
report;x;out;
represent;x;in;
require;x;up;
reroute;x;away;
rescue;x;off;
rescue;x;out;
rest;x;off;
return;x;along;
rev;x;up;
reveal;x;unto;
reverse;x;out;
review;x;up;
revoke;x;unto;
ride;x;off;
ride;x;out;
rig;x;out;
rig;x;up;
ring;x;off;
ring;x;on;
ring;x;out;
ring;x;up;
rinse;x;off;
rinse;x;out;
rip;x;off;
rip;x;out;
rip;x;up;
rive;x;out;
rock;x;out;
roll;x;around;
roll;x;away;
roll;x;down;
roll;x;off;
roll;x;out;
roll;x;over;
roll;x;up;
romanticize;x;out;
root;x;out;
rotate;x;off;
rotovate;x;in;
rough;x;out;
rough;x;up;
round;x;off;
round;x;out;
round;x;up;
roust;x;out;
row;x;down;
rub;x;down;
rub;x;off;
rub;x;on;
rub;x;out;
rub;x;over;
rub;x;up;
